Age,Weight,index
a,g,e
w,e,i,g,h,t
6,17,old
6,17,old
6,21,old
6,21,old
4,17,old
4,17,old
6,5,old
6,5,old
4,7,old
4,7,old
6,17,old
6,17,old
4,23,old
4,23,old
6,23,old
6,23,old
4,5,old
4,5,old
4,23,old
4,23,old
4,7,old
4,7,old
4,9,old
4,9,old
6,15,old
6,15,old
6,19,old
6,19,old
4,21,old
4,21,old
6,5,old
6,5,old
4,21,old
4,21,old
4,17,old
4,17,old
4,7,old
4,7,old
6,5,old
6,5,old
4,11,old
4,11,old
6,5,old
6,5,old
4,9,old
4,9,old
4,21,old
4,21,old
6,11,old
6,11,old
4,11,old
4,11,old
4,9,old
4,9,old
6,21,old
6,21,old
4,17,old
4,17,old
4,9,old
4,9,old
4,5,old
4,5,old
6,5,old
6,5,old
4,23,old
4,23,old
6,21,old
6,21,old
6,19,old
6,19,old
6,7,old
6,7,old
4,7,old
4,7,old
4,13,old
4,13,old
6,13,old
6,13,old
4,15,old
4,15,old
6,21,old
6,21,old
4,5,old
4,5,old
4,15,old
4,15,old
6,15,old
6,15,old
6,21,old
6,21,old
4,11,old
4,11,old
4,17,old
4,17,old
6,15,old
6,15,old
6,19,old
6,19,old
6,11,old
6,11,old
6,11,old
6,11,old
6,5,old
6,5,old
6,11,old
6,11,old
4,17,old
4,17,old
4,23,old
4,23,old
6,15,old
6,15,old
4,5,old
4,5,old
6,23,old
6,23,old
4,9,old
4,9,old
6,9,old
6,9,old
6,13,old
6,13,old
6,7,old
6,7,old
4,13,old
4,13,old
6,19,old
6,19,old
4,11,old
4,11,old
6,15,old
6,15,old
6,7,old
6,7,old
4,13,old
4,13,old
4,17,old
4,17,old
4,19,old
4,19,old
6,11,old
6,11,old
6,11,old
6,11,old
4,21,old
4,21,old
4,17,old
4,17,old
4,13,old
4,13,old
4,9,old
4,9,old
6,15,old
6,15,old
6,9,old
6,9,old
6,11,old
6,11,old
6,23,old
6,23,old
4,7,old
4,7,old
4,15,old
4,15,old
6,17,old
6,17,old
6,11,old
6,11,old
6,5,old
6,5,old
4,19,old
4,19,old
6,13,old
6,13,old
6,17,old
6,17,old
6,13,old
6,13,old
4,15,old
4,15,old
6,11,old
6,11,old
6,17,old
6,17,old
4,5,old
4,5,old
6,7,old
6,7,old
4,5,old
4,5,old
4,23,old
4,23,old
4,23,old
4,23,old
4,19,old
4,19,old
6,15,old
6,15,old
4,19,old
4,19,old
